
============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Sat Nov 21 18:37:50 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

Started at Sun Nov 22 18:17:27 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(491), NULL pointer free'd

Stopped at Sun Nov 22 18:27:04 2015

unfreed: <6> procnanny.server.c(497), 8 bytes at 0x1e84110  	{30 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. 0.......}
unfreed: <1> procnanny.server.c(425), 33280 bytes at 0x1e84af0  	{63 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 c.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 4
 L)argest memory usage      : 33584
 T)otal of all alloc() calls: 33592
 U)nfreed bytes totals      : 33288

============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Tue Nov 24 12:05:59 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(491), NULL pointer free'd

Stopped at Tue Nov 24 12:23:48 2015

unfreed: <26> procnanny.server.c(497), 8 bytes at 0xbc1110  	{10 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. ........}
unfreed: <1> procnanny.server.c(425), 33280 bytes at 0xbc1af0  	{63 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 c.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 14
 L)argest memory usage      : 33584
 T)otal of all alloc() calls: 35112
 U)nfreed bytes totals      : 33288

============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Tue Nov 24 13:16:18 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(491), NULL pointer free'd

Stopped at Tue Nov 24 13:24:01 2015

unfreed: <10> procnanny.server.c(497), 8 bytes at 0x7b4110  	{30 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. 0.......}
unfreed: <1> procnanny.server.c(425), 33280 bytes at 0x7b4af0  	{63 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 c.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 6
 L)argest memory usage      : 33584
 T)otal of all alloc() calls: 33896
 U)nfreed bytes totals      : 33288

============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Tue Nov 24 13:24:40 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(491), NULL pointer free'd

Stopped at Tue Nov 24 13:30:55 2015

unfreed: <14> procnanny.server.c(497), 8 bytes at 0x632110  	{30 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. 0.......}
unfreed: <1> procnanny.server.c(425), 33280 bytes at 0x632af0  	{62 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 b.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 8
 L)argest memory usage      : 33584
 T)otal of all alloc() calls: 34200
 U)nfreed bytes totals      : 33288

============= MEMWATCH 2.71 Copyright (C) 1992-1999 Johan Lindh =============

Started at Tue Nov 24 13:32:42 2015

Modes: __STDC__ 64-bit mwDWORD==(unsigned int)
mwROUNDALLOC==8 sizeof(mwData)==56 mwDataSize==56

NULL free: <2> procnanny.server.c(491), NULL pointer free'd

Stopped at Tue Nov 24 13:34:05 2015

unfreed: <6> procnanny.server.c(497), 8 bytes at 0x250b110  	{30 00 00 00 00 00 00 00 .. .. .. .. .. .. .. .. 0.......}
unfreed: <1> procnanny.server.c(425), 33280 bytes at 0x250baf0  	{62 2E 6F 75 74 0A 00 00 00 00 00 00 00 00 00 00 b.out...........}

Memory usage statistics (global):
 N)umber of allocations made: 4
 L)argest memory usage      : 33584
 T)otal of all alloc() calls: 33592
 U)nfreed bytes totals      : 33288
